Year,Tax Revenue (% of GDP),GDP Growth (%),Inflation (%),Government Debt (% of GDP),Gross Investment (% of GDP),Unemployment (%),GDP per Capita (USD),Shadow Economy (% of GDP),Tax Gap Estimate (% of GDP)
2000,9.4,4.2600880111325,4.36666451291681,55.0324216144747,16.3106779166157,0.614,642.338346499898,36.8,3.46
2001,9.2,3.65135017083765,3.14826144590618,55.0324216144747,15.9969087412847,0.611,609.939506905073,36.2,3.33
2002,9.0,2.59481668445784,3.29034472613153,55.0324216144747,14.9624104299322,0.615,599.937345723927,35.6,3.2
2003,9.3,5.40131087314342,2.91413470059479,55.0324216144747,15.3148655927028,0.612,672.44178669894,34.9,3.25
2004,9.8,7.83125556961251,7.44462469342739,55.0324216144747,15.6507707143799,0.598,771.902247348954,34.1,3.34
2005,9.7,7.2765744364722,9.06332737030417,55.0324216144747,16.2664437881869,0.583,827.619861189926,33.5,3.25
2006,9.9,6.05163767569996,7.92108440058789,55.0324216144747,18.2822141634905,0.582,900.873564984808,33.0,3.27
2007,10.2,4.4448143398844,7.59868441050774,55.0324216144747,17.535936222635,0.398,998.090114197524,32.6,3.33
2008,9.9,2.1204410433083,20.2861210929554,55.0324216144747,17.996422608907,0.423,1067.04324565284,33.1,3.28
2009,9.1,3.47255059567348,13.6477650639761,55.0324216144747,17.5777374307953,0.535,963.788066395225,33.8,3.08
2010,9.3,1.50171752152883,12.9388705634889,55.0324216144747,15.9615524272363,0.653,987.304571124485,34.2,3.18
2011,9.0,2.68011685421705,11.9160927116277,55.0324216144747,14.6316275197265,0.796,1131.73513834324,33.9,3.05
2012,9.4,3.02758391088629,9.68235186055684,55.0324216144747,15.1689869381562,3.667,1204.36475491585,33.5,3.15
2013,9.5,4.36686504978387,7.69215611899565,55.0324216144747,14.9823804459246,2.954,1225.4340119198,33.1,3.14
2014,9.8,4.11642817161422,7.18938402847028,55.0324216144747,14.9075542099107,1.827,1266.61340849959,32.8,3.21
2015,10.3,4.21794209572506,2.52932817254229,55.0324216144747,15.8109305453177,3.566,1380.47020838317,32.4,3.34
2016,10.6,6.57383828511043,3.7651191635658,55.0324216144747,15.9357468463989,2.285,1424.69161195897,31.9,3.38
2017,10.8,4.43262590683975,4.08537368032608,55.0324216144747,16.3328910849517,3.204,1519.23459514248,31.4,3.39
2018,10.5,6.15170261099519,5.07805725868917,55.0324216144747,17.0682908414203,4.083,1569.33814626355,31.8,3.34
2019,10.1,2.49763692943365,10.5783618004555,55.0324216144747,15.4996449690024,4.83,1390.41690981745,32.3,3.26
2020,9.8,-1.27408744338709,9.73999313898155,55.0324216144747,14.8155399944077,5.994,1278.39735206896,33.1,3.24
2021,10.4,6.51388575852702,9.49621056124947,55.0324216144747,14.5346921503021,6.338,1455.31922370186,32.6,3.39
2022,10.9,4.7781068690358,19.8738599646655,55.0324216144747,15.5605425943116,5.291,1538.3228133171,32.0,3.49
